Year,Month,DayOfWeek,Avg_AQI
2017,7,2,70.78378378378379
2017,7,3,54.89772727272727
2017,7,4,57.527472527472526
2017,7,5,55.97872340425532
2017,7,6,55.58064516129032
2017,7,7,62.68181818181818
2017,8,1,60.86021505376344
2017,8,2,67.53846153846153
2017,8,3,63.574074074074076
2017,8,4,61.747252747252745
2017,8,5,66.45833333333333
2017,8,6,67.94565217391305
2017,8,7,63.42857142857143
2017,9,1,67.07317073170732
2017,9,2,65.8913043478261
2017,9,3,80.49565217391304
2017,9,4,94.77777777777777
2017,9,5,93.66666666666667
2017,9,6,73.02459016393442
2017,9,7,71.07438016528926
2017,10,1,232.77380952380952
2017,10,2,265.0364583333333
2017,10,3,215.10878661087867
2017,10,4,207.292817679558
2017,10,5,224.42328042328043
2017,10,6,279.3592233009709
2017,10,7,259.1516587677725
2017,11,1,248.77848101265823
2017,11,2,252.53184713375796
2017,11,3,234.7215909090909
2017,11,4,242.0487804878049
2017,11,5,238.09817351598173
2017,11,6,245.62985074626866
2017,11,7,239.43154761904762
2017,12,1,221.11648745519713
2017,12,2,223.49213483146067
2017,12,3,227.57619047619048
2017,12,4,220.56338028169014
2017,12,5,212.4857142857143
2017,12,6,217.65740740740742
2017,12,7,207.14705882352942
2018,1,1,224.50467289719626
2018,1,2,213.85401459854015
2018,1,3,207.86080586080587
2018,1,4,202.76481481481483
2018,1,5,216.15776081424937
2018,1,6,218.34760705289673
2018,1,7,223.80522565320666
2018,2,1,179.5420054200542
2018,2,2,163.59036144578315
2018,2,3,154.36052631578949
2018,2,4,159.52713178294573
2018,2,5,164.91273584905662
2018,2,6,171.42380952380952
2018,2,7,174.75
2018,3,1,135.51554404145077
2018,3,2,134.34501347708894
2018,3,3,135.42268041237114
2018,3,4,151.65753424657535
2018,3,5,154.42516268980478
2018,3,6,146.45535714285714
2018,3,7,140.16859122401848
2018,4,1,142.3
2018,4,2,129.4017595307918
2018,4,3,142.96969696969697
2018,4,4,141.42248062015503
2018,4,5,141.0979020979021
2018,4,6,151.66903914590748
2018,4,7,151.29225352112675
2018,5,1,155.28474576271188
2018,5,2,150.77697841726618
2018,5,3,146.78085642317382
2018,5,4,136.36772486772486
2018,5,5,140.79019073569484
2018,5,6,139.51226993865032
2018,5,7,149.34700315457414
2018,6,1,133.41132075471697
2018,6,2,120.03463203463204
2018,6,3,124.36725663716814
2018,6,4,136.9609375
2018,6,5,141.76190476190476
2018,6,6,156.70029673590506
2018,6,7,140.1578947368421
2018,7,1,83.78625954198473
2018,7,2,85.82352941176471
2018,7,3,89.19142857142857
2018,7,4,83.66978193146417
2018,7,5,86.26893939393939
2018,7,6,75.69205298013244
2018,7,7,81.49685534591195
2018,8,1,89.43069306930693
2018,8,2,86.73711340206185
2018,8,3,78.25806451612904
2018,8,4,84.72151898734177
2018,8,5,90.82407407407408
2018,8,6,99.73976608187135
2018,8,7,94.51162790697674
2018,9,1,105.2909604519774
2018,9,2,87.96028880866426
2018,9,3,92.1993006993007
2018,9,4,100.5
2018,9,5,110.8103448275862
2018,9,6,109.99652777777777
2018,9,7,103.58448753462604
2018,10,1,183.359477124183
2018,10,2,172.85856079404468
2018,10,3,181.26865671641792
2018,10,4,180.57412398921832
2018,10,5,170.125
2018,10,6,167.0034129692833
2018,10,7,183.2920634920635
2018,11,1,173.5344262295082
2018,11,2,202.68512110726644
2018,11,3,220.98490566037736
2018,11,4,218.5875486381323
2018,11,5,235.5155807365439
2018,11,6,209.41017964071855
2018,11,7,178.3954248366013
2018,12,1,261.2440677966102
2018,12,2,269.2384341637011
2018,12,3,272.42056074766356
2018,12,4,236.93410852713177
2018,12,5,240.17241379310346
2018,12,6,232.5375
2018,12,7,236.98275862068965
2019,1,1,238.0809968847352
2019,1,2,245.62616822429908
2019,1,3,222.0880829015544
2019,1,4,232.54691689008044
2019,1,5,250.17661097852027
2019,1,6,248.35031847133757
2019,1,7,246.1225806451613
2019,2,1,175.55984555984557
2019,2,2,174.61428571428573
2019,2,3,183.21561338289962
2019,2,4,189.00371747211895
2019,2,5,174.17037037037036
2019,2,6,170.06324110671937
2019,2,7,165.23076923076923
2019,3,1,111.43636363636364
2019,3,2,115.84384384384384
2019,3,3,116.91740412979351
2019,3,4,124.04571428571428
2019,3,5,146.46846846846847
2019,3,6,134.69554455445544
2019,3,7,124.15479115479116
2019,4,1,130.65014577259475
2019,4,2,124.3230403800475
2019,4,3,130.28801843317973
2019,4,4,121.63172804532577
2019,4,5,121.32432432432432
2019,4,6,127.32415902140673
2019,4,7,128.1
2019,5,1,144.67613636363637
2019,5,2,159.80222841225626
2019,5,3,137.7286432160804
2019,5,4,145.1051401869159
2019,5,5,149.80140186915887
2019,5,6,145.56995884773661
2019,5,7,138.82984293193718
2019,6,1,118.05847953216374
2019,6,2,105.5121412803532
2019,6,3,105.87966804979253
2019,6,4,106.09836065573771
2019,6,5,104.62162162162163
2019,6,6,98.42332613390928
2019,6,7,114.65968586387434
2019,7,1,74.11909650924025
2019,7,2,76.17343173431735
2019,7,3,74.90552584670232
2019,7,4,84.48580968280467
2019,7,5,91.90219560878243
2019,7,6,87.54230769230769
2019,7,7,84.34538152610442
2019,8,1,69.86320754716981
2019,8,2,68.135
2019,8,3,72.54504504504504
2019,8,4,75.39157894736842
2019,8,5,69.07029876977153
2019,8,6,63.35471698113208
2019,8,7,66.9544626593807
2019,9,1,68.52695652173914
2019,9,2,68.55913978494624
2019,9,3,75.37136465324384
2019,9,4,80.12740384615384
2019,9,5,74.48148148148148
2019,9,6,68.47422680412372
2019,9,7,69.8066528066528
2019,10,1,127.1240157480315
