City,Date,Avg_AQI
Amaravati,2018-04-07T00:00:00.000+0000,76
Amaravati,2018-04-09T00:00:00.000+0000,81
Amaravati,2018-04-10T00:00:00.000+0000,59
Amaravati,2018-05-11T00:00:00.000+0000,52
Amaravati,2018-05-17T00:00:00.000+0000,125
Amaravati,2018-05-24T00:00:00.000+0000,86
Amaravati,2018-05-25T00:00:00.000+0000,62
Amaravati,2018-05-26T00:00:00.000+0000,78
Amaravati,2018-05-27T00:00:00.000+0000,114
Amaravati,2018-05-28T00:00:00.000+0000,103
Amaravati,2018-06-03T00:00:00.000+0000,129
Amaravati,2018-06-04T00:00:00.000+0000,136
Amaravati,2018-06-05T00:00:00.000+0000,155
Amaravati,2018-06-21T00:00:00.000+0000,88
Amaravati,2018-06-24T00:00:00.000+0000,89
Amaravati,2018-06-26T00:00:00.000+0000,68
Amaravati,2018-06-28T00:00:00.000+0000,65
Amaravati,2018-06-29T00:00:00.000+0000,66
Amaravati,2018-06-30T00:00:00.000+0000,96
Amaravati,2018-07-01T00:00:00.000+0000,68
Amaravati,2018-07-02T00:00:00.000+0000,76
Amaravati,2018-07-03T00:00:00.000+0000,70
Amaravati,2018-07-04T00:00:00.000+0000,75
Amaravati,2018-07-05T00:00:00.000+0000,73
Amaravati,2018-07-06T00:00:00.000+0000,85
Amaravati,2018-07-07T00:00:00.000+0000,83
Amaravati,2018-07-11T00:00:00.000+0000,62
Amaravati,2018-07-12T00:00:00.000+0000,79
Amaravati,2018-07-15T00:00:00.000+0000,31
Amaravati,2018-07-18T00:00:00.000+0000,39
Amaravati,2018-07-20T00:00:00.000+0000,42
Amaravati,2018-07-21T00:00:00.000+0000,73
Amaravati,2018-07-24T00:00:00.000+0000,55
Amaravati,2018-07-25T00:00:00.000+0000,86
Amaravati,2018-07-28T00:00:00.000+0000,57
Amaravati,2018-07-29T00:00:00.000+0000,85
Amaravati,2018-07-30T00:00:00.000+0000,85
Amaravati,2018-07-31T00:00:00.000+0000,106
Amaravati,2018-08-01T00:00:00.000+0000,100
Amaravati,2018-08-02T00:00:00.000+0000,68
Amaravati,2018-08-03T00:00:00.000+0000,61
Amaravati,2018-08-04T00:00:00.000+0000,71
Amaravati,2018-08-07T00:00:00.000+0000,111
Amaravati,2018-08-08T00:00:00.000+0000,47
Amaravati,2018-08-09T00:00:00.000+0000,47
Amaravati,2018-08-10T00:00:00.000+0000,48
Amaravati,2018-08-11T00:00:00.000+0000,49
Amaravati,2018-08-13T00:00:00.000+0000,57
Amaravati,2018-08-14T00:00:00.000+0000,60
Amaravati,2018-08-15T00:00:00.000+0000,52
Amaravati,2018-08-17T00:00:00.000+0000,63
Amaravati,2018-08-18T00:00:00.000+0000,53
Amaravati,2018-08-19T00:00:00.000+0000,56
Amaravati,2018-08-22T00:00:00.000+0000,75
Amaravati,2018-08-24T00:00:00.000+0000,89
Amaravati,2018-08-25T00:00:00.000+0000,76
Amaravati,2018-08-27T00:00:00.000+0000,66
Amaravati,2018-08-28T00:00:00.000+0000,61
Amaravati,2018-08-29T00:00:00.000+0000,83
Amaravati,2018-08-30T00:00:00.000+0000,87
Amaravati,2018-08-31T00:00:00.000+0000,97
Amaravati,2018-09-01T00:00:00.000+0000,98
Amaravati,2018-09-02T00:00:00.000+0000,99
Amaravati,2018-09-04T00:00:00.000+0000,98
Amaravati,2018-09-07T00:00:00.000+0000,90
Amaravati,2018-09-08T00:00:00.000+0000,106
Amaravati,2018-09-11T00:00:00.000+0000,88
Amaravati,2018-09-13T00:00:00.000+0000,76
Amaravati,2018-09-14T00:00:00.000+0000,68
Amaravati,2018-09-15T00:00:00.000+0000,75
Amaravati,2018-09-21T00:00:00.000+0000,80
Amaravati,2018-09-22T00:00:00.000+0000,81
Amaravati,2018-09-25T00:00:00.000+0000,59
Amaravati,2018-09-26T00:00:00.000+0000,62
Amaravati,2018-10-05T00:00:00.000+0000,56
Amaravati,2018-10-06T00:00:00.000+0000,80
Amaravati,2018-10-09T00:00:00.000+0000,142
Amaravati,2018-10-10T00:00:00.000+0000,154
Amaravati,2018-10-12T00:00:00.000+0000,130
Amaravati,2018-10-14T00:00:00.000+0000,113
Amaravati,2018-10-15T00:00:00.000+0000,91
Amaravati,2018-10-16T00:00:00.000+0000,77
Amaravati,2018-10-26T00:00:00.000+0000,122
Amaravati,2018-10-27T00:00:00.000+0000,133
Amaravati,2018-10-28T00:00:00.000+0000,133
Amaravati,2018-10-29T00:00:00.000+0000,118
Amaravati,2018-10-30T00:00:00.000+0000,118
Amaravati,2018-11-05T00:00:00.000+0000,61
Amaravati,2018-11-06T00:00:00.000+0000,86
Amaravati,2018-11-09T00:00:00.000+0000,105
Amaravati,2018-11-10T00:00:00.000+0000,106
Amaravati,2018-11-11T00:00:00.000+0000,120
Amaravati,2018-11-12T00:00:00.000+0000,156
Amaravati,2018-11-13T00:00:00.000+0000,182
Amaravati,2018-11-14T00:00:00.000+0000,144
Amaravati,2018-11-18T00:00:00.000+0000,56
Amaravati,2018-11-26T00:00:00.000+0000,189
Amaravati,2018-11-27T00:00:00.000+0000,190
Amaravati,2018-11-28T00:00:00.000+0000,215
Amaravati,2018-12-01T00:00:00.000+0000,145
Amaravati,2018-12-02T00:00:00.000+0000,160
Amaravati,2018-12-03T00:00:00.000+0000,130
Amaravati,2018-12-04T00:00:00.000+0000,176
Amaravati,2018-12-09T00:00:00.000+0000,266
Amaravati,2018-12-10T00:00:00.000+0000,276
Amaravati,2018-12-11T00:00:00.000+0000,218
Amaravati,2018-12-14T00:00:00.000+0000,180
Amaravati,2018-12-15T00:00:00.000+0000,217
Amaravati,2018-12-21T00:00:00.000+0000,81
Amaravati,2018-12-22T00:00:00.000+0000,89
Amaravati,2018-12-23T00:00:00.000+0000,136
Amaravati,2018-12-24T00:00:00.000+0000,199
Amaravati,2018-12-25T00:00:00.000+0000,221
Amaravati,2018-12-28T00:00:00.000+0000,119
Amaravati,2018-12-29T00:00:00.000+0000,153
Amaravati,2018-12-30T00:00:00.000+0000,202
Amaravati,2018-12-31T00:00:00.000+0000,191
Amaravati,2019-01-01T00:00:00.000+0000,183
Amaravati,2019-01-02T00:00:00.000+0000,210
Amaravati,2019-01-03T00:00:00.000+0000,304
Amaravati,2019-01-04T00:00:00.000+0000,312
Amaravati,2019-01-05T00:00:00.000+0000,304
Amaravati,2019-01-06T00:00:00.000+0000,306
Amaravati,2019-01-07T00:00:00.000+0000,302
Amaravati,2019-01-08T00:00:00.000+0000,298
Amaravati,2019-01-09T00:00:00.000+0000,274
Amaravati,2019-01-10T00:00:00.000+0000,270
Amaravati,2019-01-11T00:00:00.000+0000,302
Amaravati,2019-01-12T00:00:00.000+0000,257
Amaravati,2019-01-13T00:00:00.000+0000,212
Amaravati,2019-01-14T00:00:00.000+0000,256
Amaravati,2019-01-15T00:00:00.000+0000,301
Amaravati,2019-01-16T00:00:00.000+0000,274
Amaravati,2019-01-17T00:00:00.000+0000,262
Amaravati,2019-01-18T00:00:00.000+0000,287
Amaravati,2019-01-19T00:00:00.000+0000,262
Amaravati,2019-01-20T00:00:00.000+0000,242
Amaravati,2019-01-22T00:00:00.000+0000,230
Amaravati,2019-01-24T00:00:00.000+0000,113
Amaravati,2019-01-28T00:00:00.000+0000,91
Amaravati,2019-01-29T00:00:00.000+0000,96
Amaravati,2019-01-30T00:00:00.000+0000,111
Amaravati,2019-01-31T00:00:00.000+0000,143
Amaravati,2019-02-01T00:00:00.000+0000,141
Amaravati,2019-02-02T00:00:00.000+0000,130
Amaravati,2019-02-04T00:00:00.000+0000,150
Amaravati,2019-02-05T00:00:00.000+0000,159
Amaravati,2019-02-06T00:00:00.000+0000,178
Amaravati,2019-02-07T00:00:00.000+0000,159
Amaravati,2019-02-09T00:00:00.000+0000,115
Amaravati,2019-02-13T00:00:00.000+0000,121
Amaravati,2019-02-14T00:00:00.000+0000,157
Amaravati,2019-02-15T00:00:00.000+0000,116
Amaravati,2019-02-21T00:00:00.000+0000,96
Amaravati,2019-02-22T00:00:00.000+0000,96
Amaravati,2019-02-23T00:00:00.000+0000,126
Amaravati,2019-02-24T00:00:00.000+0000,131
Amaravati,2019-02-25T00:00:00.000+0000,95
Amaravati,2019-02-28T00:00:00.000+0000,60
Amaravati,2019-03-06T00:00:00.000+0000,120
Amaravati,2019-03-07T00:00:00.000+0000,105
Amaravati,2019-03-08T00:00:00.000+0000,92
Amaravati,2019-03-09T00:00:00.000+0000,86
Amaravati,2019-03-10T00:00:00.000+0000,56
Amaravati,2019-03-11T00:00:00.000+0000,78
Amaravati,2019-03-12T00:00:00.000+0000,74
