PM2_5,PM10,NO,NO2,NH3,CO,SO2,O3
79.5,131.75,1.37,30.8,18.53,0.1,8.95,45.1
93.5,182,2.4,57.05,18.13,0.1,7.98,28.4
104.25,217.5,2.22,62.43,20.2,0.1,7.43,21.07
99,190.25,2.93,72.65,20.1,0.05,4.58,14.2
100.25,190.25,2.5,57,21.25,0.03,4.2,13.23
105.25,174.5,5.15,78.12,20.82,0,3.3,7.35
108.5,164.5,5.3,72.12,22.2,0,2.72,11.78
105.75,172.75,3.72,66.38,23.35,0,3.52,11.28
104.25,167.75,1.7,43.6,22.55,0,2.6,14.2
107,164.75,2.28,39.48,22.15,0,4.73,19.1
97.25,141.5,3.35,40.05,22.13,0,5.75,23.05
98.75,142.25,2.1,26.57,21.85,0.03,7.15,40.17
83,131,1.85,24.75,21.5,0.1,8.8,53.9
70,114.5,1.72,21.72,23.35,0.08,11.52,73.02
67.75,116.5,12.38,24.95,28.98,0.05,121.12,82.33
61,109,54.18,93.48,27.4,0.08,10.95,88.67
61,109,0.9,20.6,30.85,0.1,10.15,86.75
54.75,104.75,1.78,22.9,25.95,0.08,10.85,82.83
51.25,101,1.75,27.1,25.62,0.1,9.58,87.22
52.75,96,1.05,28.27,22.25,0.08,9.88,85.25
56.25,114,1.7,31.77,17.45,0.03,11.92,80.35
59.5,138,2.28,51.05,15.2,0.08,12.73,56.35
56.75,148,2.17,33,16.43,0,10.75,49.48
53,124,1.35,24.15,16.7,0.08,9.28,47.52
56.25,110.75,3.8,55.45,16.15,0.08,7.85,24
64,133.25,10.38,80.65,17.2,0,7.55,15.2
76,167,7.88,73.7,21.62,0,8.62,14.7
83,190.75,1.45,58.15,21.55,0,7.78,18.63
80.5,161.75,6.72,80.55,19.95,0,9.75,10.77
83.75,156.25,13.7,96.58,19.65,0,11.97,4.4
84.75,166.25,2.62,60.25,21.05,0,10.15,17.65
72.25,127.5,4.57,69.7,21.22,0,7.75,4.9
72.75,120.75,5.7,70.15,20.38,0,9.4,4.4
72,132,3.85,63.25,23.9,0,5.67,8.8
102.75,166.25,47.5,125.78,22.25,0.1,7.65,4.9
97.75,155,9.95,53.15,21.6,0.1,6.42,22.05
71.5,124.75,2.3,26.1,19.38,0.08,8.23,53.9
57.25,112.5,1.42,26.4,20.93,0,11.55,64.7
64.75,132,56.1,111.5,18.8,0.1,164.22,67.12
60.25,131,2.2,37.5,21.62,0.08,104.75,81.83
54.25,121,1.62,22.22,19.23,0.1,47.9,87.7
43,100,1.57,23.65,21.65,0.1,28,88.7
49,99.5,0.97,20.88,18.62,0.1,26.2,90.62
49,104.75,2.12,40.35,17,0.1,21.28,81.35
51,138.75,2.45,62.88,15.93,0.05,10.2,48.02
58.25,209.5,3.4,70.85,14.65,0,10.25,27.92
63.5,267,2.92,59.8,14.18,0,9.45,25.97
67.75,170.5,4.85,77.15,15.3,0,8.17,20.08
72,173,8.98,94.8,17.33,0.03,9.38,9.3
87,212,12.55,93.75,19.4,0,8.8,10.8
88.25,183,3.82,65.2,17.9,0.1,4.7,16.68
82.25,174,19.95,102.15,18.28,0.1,4.95,3.9
89.25,204,27.9,114.6,19.03,0.1,4,3.43
90,186,10.92,81.48,21.55,0.1,2.55,5.85
74,149.5,5.25,78.45,22.32,0,0.82,6.85
73.75,145.5,9.23,83.38,22.3,0,0.03,5.88
82.5,150.5,15.1,78.15,25.53,0.03,5.13,5.4
93,161,7.5,44.52,25.55,0.1,8.08,15.68
81,144,3.25,37.22,24.17,0.08,12.25,31.35
80.5,156.25,3.02,45.22,22.8,0,12.6,43.12
80.75,184.5,2.18,30.65,24.05,0,19.1,61.75
51.5,168.75,55.35,91.75,25.85,0.08,23.35,78.9
29,80.75,1.62,20.38,27.93,0.1,13.33,81.83
29,89,1.55,20.1,16.4,0.1,13.23,86.7
29.5,82.5,1.45,29.12,12.85,0.1,12.77,78.9
25.75,74.75,1.97,27.08,12.45,0.1,8,68.1
21,82.25,2.97,44.7,12.8,0.1,5.98,54.88
33.25,134.25,6.15,77,16.55,0,10.83,34.3
50.5,206.75,9.5,66.12,14.78,0,10.37,28.42
46,174.25,2.58,46.73,13.5,0,7.35,26.95
49.5,168,7.25,73.85,12.35,0,8.3,14.2
63.75,202,28.6,120.58,15.15,0,9.78,4.9
71,219,6.9,79.62,15.43,0.08,8.4,11.28
58.5,178.5,4.65,68.6,17.17,0.1,7.4,9.78
55.5,172.75,4.87,76.87,18.92,0.05,5.8,6.85
51.25,159,1.13,49.95,18.95,0,6.02,15.23
50.25,131.25,1.23,37.53,22.25,0,8.73,15.2
48.5,132,0.95,29.2,21.45,0,15.03,21.58
59.5,118.75,2.88,34.5,21.22,0,13.9,18.13
66.75,139,4.43,42.6,24.43,0,11.8,15.2
84,156.25,6.33,51.97,24.83,0.08,12.43,16.17
84.75,155,5.4,45.6,25.75,0.1,15.25,27.92
85,157.5,4.82,51.3,23.97,0.1,15.63,40.68
76,153.75,4.08,47.33,25.55,0.1,20.67,60.27
38.25,101.25,54.4,93.7,15.58,0.03,14.08,83.33
34.5,99.75,1.6,21.33,17.42,0.03,9.92,73.52
22,78,2.65,22.18,19.82,0.05,10.53,82.33
25,86,1.43,17.2,15.92,0.1,10.27,83.3
25.5,85.5,1.67,15.15,17.75,0.13,9.77,83.78
27.5,94.25,1.22,22.8,18.52,0.14,9.1,71.53
30.5,105,2.17,33.65,17.63,0.23,9.55,52.43
35,125,1.8,28.57,16.95,0.18,9.68,42.12
36,118.5,2.73,36.25,16.5,0.1,6.88,34.78
41,109,4.53,48.25,17.25,0.08,6.2,21.58
49.25,118.75,23.05,89.87,20.73,0,6.92,9.83
54.25,133.25,2.4,58.95,19.92,0,5.83,14.7
48.75,112.75,6.95,69.97,22.88,0,5.75,8.33
48.75,103.5,8.65,64.22,30.6,0.3,6.4,10.78
47,95.5,1.2,23.07,27.47,0.03,5.05,24
38,76,11.03,68.1,32.4,0.05,5.65,2.95
47.25,111.5,18.35,61.48,33.65,0,5.85,2
49,145.25,11.12,60.15,35.05,0,5.8,3.43
56,181.75,2.93,42.7,31.55,0,3.82,5.88
66,215.75,2.08,31.27,29.7,0,2.68,15.2
59,189,1.45,17.55,27.68,0,2.82,27.92
52.5,112.25,1.3,14.33,27.13,0.03,2.55,33.82
41.25,82,1.53,13.2,28.5,0,6.23,39.68
29,82.75,0.8,18.2,29.75,0.1,6.55,64.2
30.75,89,0.68,17.15,22.85,0.1,6.33,70.07
27.5,82.75,0.5,15.97,20.2,0.1,5.85,75.45
29,82,0.25,12.75,17.77,0.1,6.3,77.9
29,83,0.28,13.25,12.9,0.1,9.28,72
31,91.5,0.15,17.17,11.27,0.1,12.67,62.22
29,97.5,0.38,22.67,11.88,0.1,10.75,41.65
34.25,121.75,0.25,29.72,11.15,0.1,6.43,28.42
42.5,136.25,1.3,37.75,12.83,0,4.48,12.78
55.25,173.5,4.97,48.28,13.15,0.08,3.9,10.8
79.75,204.25,7.47,51.07,12.7,0.25,3.88,7.33
76.25,213.75,9.9,49.92,13.33,0.13,3.02,4.4
66.75,198.5,11.1,48.45,10.7,0.08,6.8,14.7
62.25,125.25,7.5,44.1,10.45,0,7.5,13.73
57.75,114.25,6.15,40.55,11.25,0,7.38,11.75
53.5,113,9.88,45.43,13.2,0,7.7,3.43
62,133.5,20.4,60.02,17.15,0,7.9,3.9
66,131,31.2,75.15,12.45,0,7.08,4.4
73.25,135.25,39.08,84,9.45,0.03,5.03,5.38
86.25,153,30.48,69.75,8.35,0.1,4,11.75
81.75,138.5,15.65,49.85,10.17,0.03,7.12,26.47
61.25,123.25,4.43,36.82,10.27,0,6.38,42.15
46,98,0.43,25.5,10.6,0,7.17,52.4
40,89.25,0.07,16.97,12.45,0.05,6.85,61.75
32,81.5,0.17,13.62,11.45,0.1,9.95,64.65
35.5,84.5,0.15,14.35,11.38,0.1,10.3,71.07
36.75,89,0.3,13.23,11.08,0.1,10.38,72.5
34.75,87,0.08,11.58,10.62,0.1,10.08,69.1
30.75,79.5,0.28,11.95,10.67,0.1,10.15,63.7
28.5,74.25,0.3,12.45,10.25,0.1,8.88,56.35
24.5,79.75,0.38,18.7,10.45,0.1,10,38.7
34.25,107.25,0.5,24.22,10.67,0.1,9.53,26.45
53,118.5,0.58,27.18,11.02,0.1,9.68,18.6
35.5,109.5,0.58,26.25,10.55,0.1,10.45,21.1
38.5,98.25,0.33,23.72,10.67,0.1,12.57,23.53
43,105,1.05,26.48,12.53,0.1,12.6,8.83
49.5,109.25,4.33,34.9,12.17,0.28,10.63,10.28
46.5,109.5,6.53,37.2,12.55,0.15,9.25,7.85
50.25,121,11.88,44.4,13.75,0.19,10.07,2.95
49,103.75,17.25,50.38,12.05,0.02,9.1,4.4
52.5,104,17.55,51.75,11.95,0.22,8.7,2.95
55.25,125.75,19.78,53.03,10.33,1.54,10.3,3.43
60.5,124.25,16.88,46.67,9.95,1.67,8.17,8.8
62.75,113,11.5,40.43,10.75,1.67,7.73,15.7
52.5,115,5.12,35.08,10.9,1.53,8.13,26.97
47.75,112,1.12,29.28,10.7,1.12,8.37,41.65
44.25,100.25,0.23,28.57,11.07,1.04,9.4,53.43
41.5,101.25,0.6,26.2,14.85,0.38,9.95,59.3
32.75,76.5,0.62,19.08,22.8,0.96,8.35,66.15
35.25,79,0.4,18.53,19.58,0.33,9.1,66.15
27,74,0.4,19.33,16.7,0.27,10.75,67.6
28.75,76.5,0.18,20.22,13.68,0.18,10.2,64.67
32.75,77,0.15,17.25,12.93,0.58,11.15,64.2
29.75,91.75,0.15,17.35,12.22,0.52,9.53,56.38
34,117.75,0.38,23.12,12.15,0.58,8.23,44.07
37.25,108,0.38,23.12,12.73,0.55,6.5,32.35
30.5,80.5,0.38,23.55,11.65,0.61,6.55,31.37
35.25,85,0.38,21.43,14.93,0.62,6.55,21.05
36,103,1.48,29.32,18.7,0.62,6.35,11.78
51,122,2.85,30.7,20.25,0.63,4.38,8.3
54,147.5,4.4,32.35,18.45,0.63,5.85,7.85
49.25,140.75,5.12,32.62,21.7,0.73,5.25,6.38
53,125,6.5,34.38,22.73,0.61,5.2,5.85
53,128.25,11.15,40.35,28.93,0.73,4.62,2.48
63.75,133.25,14.75,45.93,15.85,0.71,4.75,10.28
57,109.25,5.85,33.6,11.92,0.64,4.23,19.1
49,84.5,1.25,24.28,18.03,0.75,5,13.73
53.75,103,2.45,24.43,21.53,0.87,5.25,11.28
57.75,120.75,3.83,29.62,18.75,0.82,7,21.58
46.75,114,0.95,23.15,13.08,0.61,4.88,36.25
24.75,68.25,0.3,16.78,15.65,0.65,3.85,46.07
23.75,65.75,1,17.25,21.1,3.7,11.8,53.4
23,65,8.3,23.65,35.45,0.39,6.75,54.9
19.25,68.5,0.53,20.75,27.55,0.54,6.25,61.75
16,61,0.52,18.25,25.72,0.47,3.08,62.72
15,58.5,0.2,18.88,19.8,0.47,3.6,60.25
20.75,73.25,0.4,17.22,12.28,0.32,6.25,51.45
19.75,59.5,0.55,18.78,9.8,0.37,5,43.6
25.25,87,0.4,32.22,10,0.98,8.25,30.85
41.75,158.25,1.2,45.43,10.12,0.99,8.45,23
35.5,125.75,0.83,38.38,10.35,0.82,6.42,28.9
40.5,93.5,0.62,29.75,10.25,0.9,6.88,22.05
52.25,114,3.2,36,10.35,1.11,7.67,7.35
54.75,127.5,10.82,47.92,9.62,0.99,7.2,11.78
52.25,106.75,11.15,45.15,10.07,1.04,5.33,6.38
55.75,111.75,13.18,47.53,9.9,1.02,2.98,3.9
54.5,108.25,17.75,53.12,9.65,1.97,2,4.9
47.5,92.5,21.85,55.2,9.22,1.12,0.85,3.9
47.5,92.5,20.6,51.25,9.32,1.67,0.92,3.43
67.25,118.5,17.78,47.3,9.85,0.55,0.55,4.9
76.25,129,12.72,39.82,10.58,0.63,4.8,7.85
72.25,121.75,6.17,32.77,11.08,1.56,4.97,14.7
64.25,98.75,2.35,30.22,11.08,1.27,6.35,18.63
53.25,93.75,1.35,31,10.57,0.74,6.25,30.37
41.75,84.25,0.65,22.97,10.42,0,5.55,38.23
30.75,65.25,0.55,17.65,11.35,0.18,11.2,43.6
25.75,61.25,0.15,16.9,11.52,0,6.15,46.55
22.75,65.25,0.3,17.8,15,0.97,3.62,51.45
23.75,63.75,0.2,17.35,13.8,0.44,3.98,56.35
20.5,60,0.3,24.1,11.6,0.36,4.65,55.85
23,72,0.1,20.55,13.95,1.53,5.4,56.35
29.25,89.25,0.13,27.97,12,0.79,7.9,37.22
46.25,137,1.1,43.9,11.12,1.03,6.93,23.03
78,209.25,2.53,47.93,10.98,1.61,9.08,15.2
98.25,225,5.2,51.18,10.97,1.19,6.35,10.78
65,242,5.65,46.68,10.55,1.36,7.52,6.38
63,230,13.78,58.3,10.88,1.16,5.35,8.83
69,197,17,63.02,10.6,1.04,1.93,6.38
75,226,10.85,56.6,10.3,0.78,11.45,25.5
48,101,3.4,29.2,10.3,0.79,7.7,3.9
38.5,88,3.13,25.78,10.05,0.76,6.65,4.4
49.5,108,3.43,24.4,10,0.94,7.1,5.4
58.5,131,3.72,24.22,10.1,0.89,8.2,8.33
53.5,127.25,3.38,23.05,10.48,0.82,12.53,12.28
52.25,129.25,2.4,23.28,10.08,0.72,17.4,22.55
51.25,137.5,0.77,23,9.97,0.46,21,39.17
45.75,122.25,0.55,20.7,9.85,0.23,53.55,49.47
47.25,117,7.65,27.93,14.52,0.65,45.87,64.2
52.75,115.25,0.53,23.77,10.7,1.3,30.3,71.55
49,110,0.35,20.33,18.53,0.64,45.18,75.45
31,78,0.5,15.9,26.2,1.92,15.8,76.4
31,78,0.3,15.67,23.93,1.91,18.45,79.4
49.75,103.5,0.38,19.28,16.43,0.61,27.65,80.38
66.5,146.75,0.3,34.42,13.5,0.96,30.1,63.7
74,182,0.2,30.03,13.25,1.09,7.7,26.47
39,81,0.58,21.53,12.05,1.07,4.05,19.6
37.75,72.25,0.95,22.4,11.3,0.64,2.4,17.15
42,70,0.7,21.75,11.28,0.59,0.8,18.1
40.5,72,1.45,21.08,10.8,0.53,0.85,13.72
39.75,84.25,2,21.33,10.7,0.49,8.35,10.3
41.75,75.75,3.07,21.03,10.6,0.72,9.45,9.3
40.75,74.5,3.35,20.38,10.53,0.82,10.67,9.8
40,73,3.55,21,10.6,0.82,10.6,9.8
30.75,62.25,4.15,21.77,10.95,0.75,9.98,4.9
34.75,67,4.72,23.05,10.8,0.63,10.13,4.43
33.5,69.75,6.33,23.73,10.92,0.75,7.43,6.85
37.75,66.5,4.28,23.4,11.25,0.68,6.6,14.7
29,60.5,1.82,21.12,11.4,0.67,7.68,21.08
28.5,60,1.2,17.43,11.15,0.59,7.17,26.95
17.75,47,0.45,16.38,11.1,0.55,6,34.3
18,57,0.65,15.3,12.5,0.01,7.8,41.65
20.5,60.75,7.8,23.82,28.2,0.72,10.45,49
26.25,60.5,0.3,17.07,11.08,0.58,11.25,57.3
26.5,65.5,0.3,15.28,13.72,0.68,10.6,57.3
16.25,73.5,0.48,19.75,14.65,0.67,8.48,55.85
16,63,0.2,18.05,16.25,0.67,6.85,51.45
14,52,0.8,17.75,14.12,0.5,8.38,32.82
14.75,53.5,1,19.8,12.47,0.52,10.5,15.67
13.75,59.75,0.8,22.25,10.88,0.47,11.65,13.72
13,49.25,1.15,21.17,10.3,0.55,5.73,13.22
15,53,1.45,19.37,10.42,0.63,5.3,9.3
20.5,47.5,2.48,20.97,10.2,0.62,6.15,6.38
23.5,53,5.3,23.47,9.62,0.7,6.35,3.43
19.75,54,6.73,24.4,9.7,0.56,4.05,4.9
13.25,40,5.38,21.3,9.8,0.5,2.58,6.85
13.5,41.5,4.35,18.75,9.62,0.5,4.18,6.85
11.75,36.5,4.08,17.57,9.7,0.48,4.3,7.8
10.5,33.25,3.65,16.5,9.52,0.48,4.18,8.8
9,28,3.77,15.35,9.37,0.6,5.47,7.8
18.5,34.25,3.53,16.53,10,0.7,5.02,6.35
25.75,59.25,6.2,21.85,9.92,0.85,5.92,4.4
30.5,71.25,6.87,25.9,9.92,0.72,5.6,13.73
19.5,48.5,1.95,19.65,9.85,0.59,4.63,21.55
17.5,48.5,0.38,14.1,10.67,0.48,6.05,27.45
24,50.75,7.55,18.82,18.33,1.15,7.12,42.18
27,60.25,0.33,11.83,14.67,0.61,6.6,50.95
28.75,65.75,0.3,10.45,15.55,0.55,7.68,55.35
35.5,73.25,0.3,12.6,15.12,0.58,5.3,55.85
41.25,83.5,0.33,11.55,13.95,0.59,10,50.98
45,91.75,0.3,13.75,13.7,0.58,8.55,43.1
48.5,91.5,0.48,14.93,13.28,0.51,8.02,33.35
62.25,114.5,0.52,14.05,13.42,0.6,6.2,31.37
71.5,125.25,0.55,14.75,13.48,0.62,4.2,29.4
71.75,124.25,0.2,15.48,13.33,0.73,7.1,25.47
77,119,0.38,17.43,12.9,0.79,4.3,20.1
80,129,0.48,17.03,12.92,0.7,4.17,22.08
76.5,115,0.1,16.4,12.25,0.75,6.93,21.1
78.25,122.25,0.45,15.62,12.08,0.77,7.38,14.7
79.25,117.25,0.73,15.98,12.2,0.72,7,19.6
78,116.25,0.18,14.3,12.3,0.7,7.3,23.05
72,115.5,0.62,12.55,11.83,0.68,7.4,20.08
72.25,127.25,0.55,14,11.95,0.71,6.8,18.13
74.25,120.5,0.7,15.12,12.17,0.73,6.17,19.63
76.5,115.75,0.97,17.78,12.22,0.8,6.33,25.95
70.25,110.75,0.5,12.28,12.9,0.67,6.4,35.77
65.5,95,0.4,8.8,13.3,0.62,6.8,37.2
64.5,92.75,0.43,7.55,13.9,0.61,8.7,39.68
62,97.75,0.3,8.65,13.5,0,7.57,43.1
68.75,105,0.2,9.82,14.02,0,7.85,44.6
68,100.75,0.45,9.15,13.85,0.61,8.33,44.1
61,99.5,0.4,7.48,13.95,0.6,9.3,45.1
65.75,108,0.15,6.78,14.9,0.63,9.95,45.1
62,111,0.3,7.55,14.97,0.64,10.25,42.62
62.25,110.75,0.5,8.07,14.3,0.59,9.75,40.7
63,112.25,0.18,8.33,13.3,0.59,6.82,36.25
65,121.5,0.3,13.65,12.98,0.71,6.83,27.45
71,129,0.33,15.33,12.4,0.77,5.65,26.92
76,113.5,0.3,13.33,12.2,0.7,5.65,28.92
74.25,108.75,0.1,9.38,12.87,0.67,5.62,31.87
69,108,0.3,8.05,13.15,0.7,7.4,31.4
63.5,107,0.4,7.3,13.22,0.56,8.4,30.4
65,97.75,0.4,5.9,12.83,0.5,8.28,31.4
65,88,0.3,8.78,12.5,0.54,10.98,29.4
68.5,96.5,0.3,10.33,11.22,0.62,7.9,17.15
70,103,0.85,12.85,10.5,0.68,6.1,15.17
70,108.25,1.35,13,10.23,0.76,6.07,13.25
71.25,111.25,2.15,18.95,10.35,0.82,7.2,18.62
75,127,0.9,18.53,11.28,0.59,7.73,35.28
55,91.25,0.45,12.08,12.45,1.1,8.5,40.68
46,82.75,0.35,10.3,13.85,0.98,3.9,43.12
54.75,92.75,0.68,14.27,13.05,1.67,8.58,37.2
51.5,101.25,0.35,15.1,11.6,0.48,7.98,41.18
44,111,0.1,12.75,11.7,0.44,8.4,43.1
41.75,90.75,0.28,12.83,12.1,0.42,9.75,43.1
45.75,92,0.25,13.92,12.15,0.44,10.67,40.7
44.25,89,0.48,13.27,12.28,0.6,10.55,36.25
51.75,91.25,0.4,16.9,12.02,0.63,8.32,30.85
54.25,98,0.18,16.68,11.78,0.63,6.95,27.4
55.25,95.75,0.18,13.18,11.42,0.63,6.43,26.95
61.5,100,0.7,15.7,11.1,0.66,3.7,22.08
65.75,109.25,0.6,20.1,10.92,0.68,1.62,22.55
61.75,100,0.23,14.85,11.2,0.66,0.65,25
61,88,0.3,10.88,10.92,0.62,4.38,23.05
61,89.5,0.5,12.85,10.88,0.69,5.57,17.15
60.75,95,1,17.27,10.18,0.72,5.18,12.75
61,96.5,0.93,16.25,9.97,0.66,4.95,9.8
64,94.25,0.5,14.22,10.12,0.76,4.65,16.65
65,100.75,0.3,14.38,10.65,0.74,4.57,20.08
68.5,100.25,0.18,15.33,11.52,0.76,5.23,22.55
71.5,104.25,0.45,17.2,11.62,0.86,6.32,26.45
76.5,116.5,0.55,21.28,11.62,0.88,8,34.27
77.75,120.75,0.25,16.2,11.65,0.94,9.67,40.68
75.75,114.25,0.15,17.47,11.55,0.88,11.4,49.48
64.25,107.25,0.6,13.7,20.05,0.57,11.17,57.32
59,112,0.33,11.33,14.12,0.59,9.23,58.8
56.5,109,0.45,9.02,17.88,0.57,2.18,57.8
48.75,90,0.1,9.57,16.1,0.57,3.5,55.82
47.25,99,0.38,12.95,11.73,0.67,6.9,43.1
50.25,108.5,0.2,12.38,11.4,0.69,3.02,38.7
46.5,95,0.5,11.25,10.85,0.68,0.15,42.15
40,75.75,0.55,11.88,10.15,0.62,0.35,41.68
46.25,82.25,0.23,12.53,9.2,0.78,7.67,32.35
51.75,95.25,0.28,14.12,9.5,0.76,7.35,29.9
57,96,0.1,14.98,9.52,0.77,6.5,27.4
54.25,93.75,0.28,14.02,9.7,0.96,5.52,24.5
60.25,97.75,0.2,11.67,9.65,0.85,5.65,35.78
67,109.25,0.2,9.02,9.78,0.87,4.65,35.28
69,101.75,0.2,10.65,10.15,1.04,5.12,33.82
75.25,109.25,0.1,15.42,10.23,1.03,5.43,36.73
66.5,118.75,0.2,14.77,9.85,0.72,12.03,50.48
58.5,119,0.3,18.9,10.4,0.76,13.7,54.9
56.5,122.75,0.6,23.45,14.4,5.17,30.55,64.17
53.75,116.25,0.65,17.65,15.38,0.46,27.38,73.98
57.75,124.5,0.4,17.82,12.53,0.64,23.42,73.98
53.25,116.5,0.2,17.72,14.15,0.55,28.15,76.93
51,106,0.1,16.2,14.47,0.5,21.55,72.05
47.25,101.75,0.25,20.3,9.67,0.7,12.75,64.17
57.25,125.25,0.23,24.05,9.43,0.81,11.12,49.48
58.25,129.75,0.3,24.95,13.25,0.9,11.95,50.5
54.5,128.25,0.2,20.8,10.15,0.69,11.55,47.02
42.5,92,0.2,17.47,9.7,0.75,10.23,42.65
48.5,96.75,0.1,16.15,10.38,0.8,10.08,39.23
53,99.75,0.1,16.75,9.5,0.91,10.32,23.52
53,119,0.75,23.55,8.5,0.9,9.72,22.05
54,119,0.45,27.85,11.05,0.94,7.6,17.65
57,129.25,1.13,30.45,13.78,0.9,11.45,9.8
58.5,133.5,1.65,28.6,20.1,0.95,9.02,11.75
59.75,135.25,1.98,30.47,26.4,0.89,2.62,5.38
54,136.25,4.15,30.68,10.95,0.7,5.75,8.83
64.5,136.75,5.3,29.72,8.27,0.64,7.67,12.73
62.5,141,3.75,25.65,7.65,0.92,9,16.68
70.75,162.25,2.85,26.8,7.9,1.18,12.2,21.55
66.75,162.25,1,30.5,9.3,0.72,14.53,39.2
44.75,102,0.75,31.25,9.3,0.56,15.05,47.52
34.75,86.25,0.6,29.45,14.15,0.18,14.85,53.38
34.75,77.25,7.3,24.88,13.9,0.57,22.37,57.8
37.75,84.75,1.15,19.8,17.02,0.48,25.15,56.82
38.5,83.25,0.2,13.4,22.8,0.63,17.05,67.12
43.75,115,0.35,17.95,25.92,0.7,12.33,52.92
47.5,132,0.8,26.85,36.2,1.19,5.7,37.75
48.25,145.25,0.55,26.68,39.98,0.19,1.6,34.3
40,114,1.15,28.43,42,0.01,1.15,26.47
49.75,110,0.72,17.6,47.2,0.73,6.87,29.87
52.5,107.5,0.62,14.33,46.75,0.67,10.12,23.53
56.5,141.25,1.18,15.25,46.18,0.85,9.77,6.85
64.25,186,2.25,18.47,46.05,0.8,9.65,4.88
64.25,174.75,3.85,21,45.28,0.84,9.3,7.33
62,123,4.17,21.6,44.43,1.18,9.92,3.9
63.75,171,6.88,23.23,44.97,1.32,6.53,5.88
72.5,151.25,6.05,22.35,44.4,1.04,8.12,10.78
81,163.75,4.27,20.58,42.95,1.44,9.65,22.55
71,150.75,1.72,18.35,40.88,0.5,10.32,34.78
56.75,108.5,0.58,15.42,38.48,0.58,10.8,44.57
49.5,92.5,0.7,15.65,54.45,0.41,12.15,57.83
65.5,146.5,0.68,56.57,23.45,0.6,152.2,56.82
57.5,124.5,0.4,40.5,23,0.54,95.62,68.62
53.75,118.25,1.3,16.7,18.7,0.82,70.05,72.52
53,119.5,0.85,21.53,16.57,0.49,51.85,67.12
53,130,1.25,25.8,16.2,0.33,23.98,50.45
47.5,133.5,1.15,19.5,16.53,0.64,7.08,22.55
40.75,88.75,1.15,15.2,16.7,0.84,6.32,21.1
42.75,86,1.13,13.98,17.1,0.74,6.2,19.1
43.25,89.75,1.3,14.67,18.83,0.74,6.67,18.13
47,92,1.4,14.9,19.85,0.52,6.32,15.7
46.5,91.75,1.45,16.8,22.15,0.68,6.15,10.8
45,89.5,1.53,20.67,21.22,0.43,5.15,16.17
45,85,1.28,16.52,21.35,0.51,4.93,11.75
51,90,1.28,15.7,20.15,1.89,4.73,7.35
42,80,1.32,13.73,19.95,2.4,4.32,12.25
43.75,111.25,1.22,13,20.25,0.62,4.07,6.38
50.25,180,1.53,14.98,20.38,0.79,4.65,2
56,154,2,19.75,20.47,0.77,5.62,5.38
56.75,122.75,0.73,23.1,20.1,0.48,4.83,17.65
39,70.5,0.9,19.7,19.67,0.32,5.15,36.28
32.5,61.75,1.05,11.3,20.25,0.51,8.15,42.15
32.5,67.25,1.15,12.1,28.55,0.35,13.3,50
36.25,71.25,1.23,20.48,42.2,0.68,66.05,56.85
55,121.5,0.73,19.15,36.27,0,56.45,65.65
42.25,106.75,1.27,15.67,18.53,0.26,16.95,61.72
40,101,1.45,15.1,18.97,0.11,9.67,41.17
37,87.75,1.7,12.45,18.43,0.33,5.82,26.92
29.25,67,1.6,10.75,18.55,0.54,5,24
35.25,74,2.02,12.08,20.15,0.96,4.87,15.67
42.75,87.25,3.6,15.6,22.33,0.88,2.43,13.25
45,91,3.75,15.47,23,0.46,4.32,16.17
42.75,90,2.12,15.67,24.12,0.49,10.28,15.67
39,83.75,2.13,13.1,24.4,0.37,12.5,11.78
38.5,81,3.15,12.87,24.67,0.4,13.2,12.75
37.75,77.75,3.65,12.77,25.02,0.52,13.35,7.85
40.5,82.75,4.38,13.15,25,0.56,13.85,8.33
43,71.5,5.15,15.15,25,0.63,13.6,6.85
45.5,74,7.48,17.77,25.47,0.77,8.38,6.35
52.25,90,8.08,17.13,25.55,0.85,7.15,9.3
59,102,6.68,15.77,27.75,0.66,4.85,24
44,72.25,2.05,12.4,24.5,0.54,7.88,37.23
36.5,63,1.63,8.15,23.62,0.54,7.7,41.18
32.25,66.75,303.5,140.7,34.8,0.18,5.95,47.02
33.75,62.5,12.18,8.4,17.15,0.38,9.93,52.93
35.5,71.25,1.4,8.65,15.7,0.31,11.07,53.9
36.5,74.5,1.5,7.8,16.4,0.35,7.73,54.88
42.5,74.5,1.22,8.8,18.28,0.39,8.12,56.8
38,78.25,1.33,9.1,19.85,0.44,9.62,54.38
36.5,75.5,1.9,9,23.65,0.41,8.6,41.15
37.25,77,1.38,11.4,25.22,0.46,10.52,38.2
45.5,85,2,13.97,37.45,0.56,11.93,39.7
51.5,91.5,1.78,10.3,32.5,0.5,12.47,36.75
55.75,93.75,1.65,9.5,27.95,0.49,9.45,33.8
56.25,96.25,1.45,9.47,25.25,0.49,6.25,29.4
62.5,99.5,1.97,8.95,26.42,0.49,14.47,25
69,106,2.05,11.97,26.05,0.44,8.2,26.95
64,102.25,1.67,12.1,27.78,0.5,3.2,21.1
59.75,100.5,2.38,12.43,26.03,0.48,0.9,16.65
58.75,113.5,1.95,11.12,17.23,0.45,2.6,16.15
61.25,105,2.12,10.27,17.45,0.52,2.65,15.7
64,103.75,5.4,15.1,23.8,0.65,3,7.83
70.75,110.75,14.02,15.55,22,0.74,3.07,10.28
