Year,Month,Day,avg(AQI)
2015,9,8,61
2015,9,9,69.91666666666667
2015,9,10,72.08333333333333
2015,9,11,64.95833333333333
2015,9,12,63.583333333333336
2015,9,13,64.25
2015,9,14,66.29166666666667
2015,9,15,55.916666666666664
2015,9,16,58.708333333333336
2015,9,17,48.285714285714285
2015,10,2,96
2015,10,3,82.875
2015,10,4,100
2015,10,5,89.33333333333333
2015,10,6,103.20833333333333
2015,10,7,106.5
2015,10,8,135.25
2015,10,10,104.55555555555556
2015,10,11,107.58333333333333
2015,10,12,113.79166666666667
2015,10,13,110.16666666666667
2015,10,14,117.04166666666667
2015,10,15,128.91666666666666
2015,10,16,144.95833333333334
2015,10,17,110.33333333333333
2015,10,18,108.91666666666667
2015,10,19,104.58333333333333
2015,10,20,114.875
2015,10,21,114.75
2015,10,22,118
2015,10,24,107.57142857142857
2015,10,25,111.95833333333333
2015,10,26,104.5
2015,10,27,114.29166666666667
2015,10,28,112.25
2015,10,29,99.79166666666667
2015,10,30,89.75
2015,10,31,107.04166666666667
2015,11,1,98.375
2015,11,2,102
2015,11,3,95.625
2015,11,4,101.91666666666667
2015,11,5,92.54166666666667
2015,11,6,102.5
2015,11,7,106.33333333333333
2015,11,8,105.52380952380952
2015,11,9,106.3157894736842
2015,11,10,119.84210526315789
2015,11,11,122.66666666666667
2015,11,13,118.17647058823529
2015,11,14,125.4
2015,11,15,134
2015,11,16,119.79166666666667
2015,11,17,115.70833333333333
2015,11,18,91.75
2015,11,19,105.41666666666667
2015,11,20,80.41666666666667
2015,11,21,91.125
2015,11,22,106.66666666666667
2015,11,23,97.20833333333333
2015,11,24,93.70833333333333
2015,11,25,113.82608695652173
2015,11,26,139.91666666666666
2015,11,27,126.54166666666667
2015,11,28,141.65
2015,11,29,151.70833333333334
2015,11,30,115.83333333333333
2015,12,1,98.04166666666667
2015,12,2,90.79166666666667
2015,12,3,89.6923076923077
2015,12,5,143.1764705882353
2015,12,8,108.65217391304348
2015,12,9,114.08333333333333
2015,12,10,110.91666666666667
2015,12,11,90.125
2015,12,12,89.16666666666667
2015,12,13,91.08333333333333
2015,12,14,92.45833333333333
2015,12,15,97.95652173913044
2015,12,16,92.75
2015,12,17,58.333333333333336
2015,12,18,78.08333333333333
2015,12,19,91.625
2015,12,20,98.45833333333333
2015,12,21,91.16666666666667
2015,12,22,86.83333333333333
2015,12,23,87.41666666666667
2015,12,24,100.95238095238095
2015,12,25,122.375
2015,12,26,172.54166666666666
2015,12,27,123.13636363636364
2015,12,28,109.45833333333333
2015,12,29,109.4090909090909
2015,12,30,110.125
2015,12,31,113.75
2016,1,1,113.95833333333333
2016,1,2,134
2016,1,3,122.375
2016,1,4,112.91666666666667
2016,1,5,131.79166666666666
2016,1,6,147.375
2016,1,7,128.95833333333334
2016,1,8,136.45833333333334
2016,1,9,167.25
2016,1,10,199.16666666666666
2016,1,11,148.08333333333334
2016,1,12,142.58333333333334
2016,1,13,172.13636363636363
2016,1,14,208.5
2016,1,15,184.58333333333334
2016,1,16,151.75
2016,1,19,129.5
2016,1,20,111.15789473684211
2016,2,13,105.5
2016,2,14,106.33333333333333
2016,2,15,98.125
2016,2,16,96
2016,2,17,77
2016,2,18,83.125
2016,2,20,96.66666666666667
2016,2,21,117
2016,2,22,105.58333333333333
2016,2,23,114.625
2016,2,24,99.08333333333333
2016,2,25,98.95833333333333
2016,2,26,95.95833333333333
2016,2,27,87
2016,2,28,90.95833333333333
2016,2,29,88.20833333333333
2016,3,1,94.125
2016,3,2,93.375
2016,3,3,97.20833333333333
2016,3,4,99.625
2016,3,5,112.79166666666667
2016,3,6,98.91304347826087
2016,3,7,87.47619047619048
2016,3,8,82.73913043478261
2016,3,9,85.33333333333333
2016,3,10,102.54166666666667
2016,3,11,96.625
2016,3,12,112
2016,3,14,110.95454545454545
2016,3,15,90.33333333333333
2016,3,16,91.82352941176471
2016,3,19,94.76923076923077
2016,3,20,110.75
2016,3,21,113.65
2016,3,22,119.9047619047619
2016,3,23,110.45833333333333
2016,3,24,141.20833333333334
2016,3,25,137.86363636363637
2016,3,26,114.58333333333333
2016,3,27,120.20833333333333
2016,3,28,110.41666666666667
2016,3,29,103.68181818181819
2016,3,30,97.25
2016,3,31,91.13636363636364
2016,4,1,100.3125
2016,4,4,102.1
2016,4,5,106.63157894736842
2016,4,6,110.05263157894737
2016,4,7,100.58333333333333
2016,4,8,90.83333333333333
2016,4,9,76.79166666666667
2016,4,10,79.125
2016,4,11,89.04166666666667
2016,4,12,100.38095238095238
2016,4,13,97.77272727272727
2016,4,14,110.04166666666667
2016,4,15,105.25
2016,4,16,99.45833333333333
2016,4,17,96.30434782608695
2016,4,18,99.04761904761905
2016,4,19,98.04347826086956
2016,4,20,97
2016,4,21,98.29166666666667
2016,4,22,100.43478260869566
2016,4,23,102.84210526315789
2016,4,26,102.05555555555556
2016,4,27,105.28571428571429
2016,4,28,97.52380952380952
2016,4,29,85.75
2016,4,30,83.79166666666667
2016,5,1,91.45833333333333
2016,5,2,92.79166666666667
2016,5,3,91.69565217391305
2016,5,4,74.58333333333333
2016,5,5,69.8
2016,5,6,74.52631578947368
2016,5,7,90.26086956521739
2016,5,8,84
2016,5,10,82.33333333333333
2016,5,11,98.21739130434783
2016,5,12,88.78260869565217
2016,5,13,96.08333333333333
2016,5,14,91
2016,5,15,75.66666666666667
2016,5,16,75.33333333333333
2016,5,17,67.65217391304348
2016,5,18,69.45833333333333
2016,5,19,67.75
2016,5,20,74
2016,5,22,75.34782608695652
2016,5,23,80.66666666666667
